Sac à main	Textile > Vêtement et accessoire > Accessoire
Fauteuil visiteur	Siège > Fauteuil > Fauteuil visiteur
Fauteuil de bureau	Siège > Fauteuil > Fauteuil de bureau
Fauteuil de bureau\n	Siège > Fauteuil > Fauteuil de bureau
Fauteuil confortable	Siège > Fauteuil > Fauteuil confortable
Confortable	Siège > Fauteuil > Fauteuil confortable
Fauteuil confortable	Siège > Fauteuil > Fauteuil confortable
Fauteuil Cabriolet	Siège > Fauteuil > Fauteuil cabriolet
Chaise Lyre	Siège > Chaise > Chaise lyre
Chaise lyre	Siège > Chaise > Chaise lyre
Chaise lyre\nChaise a été vendues au domaine en 1987.	Siège > Chaise > Chaise lyre
Chaise à lyre	Siège > Chaise > Chaise lyre
CHAISE A GRILLE N° 1	Siège > Chaise > Chaise à grille
CHAISE A GRILLE N° 1\n	Siège > Chaise > Chaise à grille
CHAISE A GRILLE N° 2\nNOIRE	Siège > Chaise > Chaise à grille
CHAISE A GRILLE N° 3	Siège > Chaise > Chaise à grille
CHAISE A JOUREE	Siège > Chaise > Chaise à grille
CHAISE AJOUREE	Siège > Chaise > Chaise à grille
CHAISE MEDAILLON	Siège > Chaise
Chaise Gondole	Siège > Chaise
Chaise légère	Siège > Chaise
Canapé	Siège > Canapé
Canapé\nDécision de radiation n°2012/05 du 09.07.2012 pour être reversé au Conseil général de Loir-e	Siège > Canapé
Canapé "Hudson"	Siège > Canapé
Canapé 2 places	Siège > Canapé
Canapé 2 places\nDécision de radiation n°2013/03 du 27.08.2013 pour destruction	Siège > Canapé
Canapé 2 places\nDécision de radiation n°2018/02 du 18/04/2018 suite à la vente aux Domaines du 27 m	Siège > Canapé
Canapé 2 places\nModèle Aura	Siège > Canapé
Canapé 2 places\nModèle Coque	Siège > Canapé
Canapé 2 places\nModèle Drisin	Siège > Canapé
Canapé 2 places\nModèle LC2	Siège > Canapé
Canapé 2 places\nModèle LC2 de 1928	Siège > Canapé
Canapé 2 places\nModèle Marly	Siège > Canapé
Canapé 2 places\nModèle Quai Conti	Siège > Canapé
Canapé 2 places\nModèle Savane	Siège > Canapé
Canapé 2 places\nP.V. VENTE 07 99/2105\nREMIS EN VENTE LE 21.12.1999\nARRETE DU 23.12.1999	Siège > Canapé
Canapé 2 places\nP.V. VENTE 17 2002-FEV-0065\nARRETE DU 07.06.2002	Siège > Canapé
Canapé 2 places\nP.V. VENTE 38 96/1630\nARRETE DU 20.11.1996\n	Siège > Canapé
Canapé 2 places\nP.V. VENTE 57 98/1992\nINVENDU - DETRUIT - P.V. 03\nARRETE DU 22.02.1999\n\n\n	Siège > Canapé
Canapé 2 places\nSister Mangaret	Siège > Canapé
Canapé 2 places\nmodèle California	Siège > Canapé
Canapé 2 places Foster	Siège > Canapé
Canapé 2 places modèle Drisin	Siège > Canapé
Canapé 2 places-méridienne Essex	Siège > Canapé
Canapé 2 places. Modèle LC2 de 1928	Siège > Canapé
Canapé 3 places	Siège > Canapé
Canapé 3 places\nModèle Bastiano	Siège > Canapé
Canapé 3 places\nModèle Drisin	Siège > Canapé
Canapé 3 places\nModèle LC2	Siège > Canapé
Canapé 3 places\nModèle Washington	Siège > Canapé
Canapé 3 places\nP.V. VENTE 17 2002-FEV-0065\nARRETE DU 07.06.2002	Siège > Canapé
Canapé 3 places\nP.V. VENTE 38 96/1630\nARRETE DU 20.11.1996\n	Siège > Canapé
Canapé 3 places\nSister Mangaret	Siège > Canapé
Canapé 3 places\nmodèle California	Siège > Canapé
Canapé 3 places \nModèle Drisin	Siège > Canapé
Canapé 3 places "Hudson"	Siège > Canapé
Canapé 3 places Foster	Siège > Canapé
Canapé 3 places Kenia	Siège > Canapé
Canapé 3 places modèle Drisin	Siège > Canapé
Canapé 5 places\nP.V. 38 VENTE 96/1630	Siège > Canapé
Canapé Salon Jaujard	Siège > Canapé
Canapé Sofa	Siège > Canapé
Canapé Sopha	Siège > Canapé
Canapé anglais	Siège > Canapé
Canapé cintre	Siège > Canapé
Canapé confortable	Siège > Canapé
Canapé confortable\nDECISION DE RADIATION \nN° 2004/4\nDESTRUCTION	Siège > Canapé
Canapé confortable\nDécision de radiation n° 2005/4\nsuite à la vente du 26 mai 2005	Siège > Canapé
Canapé confortable\nDécision de radiation n°2009/4 du 17/07/2009 suite à la vente du 3/07/2009	Siège > Canapé
Canapé confortable\nP.V. VENTE 3* 92/1569\nARRETE DU 11.09.1992	Siège > Canapé
Canapé confortable\nP.V. VENTE 47 97/2075\nREMIS EN VENTE - VENDU LE 24.02.98 ARRETE DU 04.03.1998\n	Siège > Canapé
Canapé confortable\nP.V. VENTE 47 97/2075 REFUSE\nREBUT 51 ARRETE DU 16.04.98	Siège > Canapé
Canapé confortable\nRADIATION DES INVENTAIRES\nARRETE DU 22.08.1990 \nP.V. DE REBUT	Siège > Canapé
Canapé confortable\nRADIATION DES INVENTAIRES ARRETE DU \n S.H.A.P.E. MARNES LA COQUETTE	Siège > Canapé
Canapé confortable\nRADIATION DES INVENTAIRES ARRETE DU 30.03.1990 S.H.A.P.E. MARNES LA COQUETTE	Siège > Canapé
Canapé confortable "Les illusions d'Icare"	Siège > Canapé
Canapé confortable 2 places	Siège > Canapé
Canapé confortable 3 places	Siège > Canapé
Canapé confortable à 2 places	Siège > Canapé
Canapé contemporain	Siège > Canapé
Canapé corbeille	Siège > Canapé
Canapé corbeille.\nDécision de transfert d' affectation\nn° 2005/14	Siège > Canapé
Canapé d'alcove	Siège > Canapé
Canapé d'angle	Siège > Canapé
Canapé deux places	Siège > Canapé
Canapé deux places\nGamme cosmos executive	Siège > Canapé
Canapé deux places\nModèle Huit	Siège > Canapé
Canapé deux places\nModèle huit	Siège > Canapé
Canapé en bergère	Siège > Canapé
Canapé et garniture du canapé	Siège > Canapé
Canapé gondole	Siège > Canapé
Canapé mural	Siège > Canapé
Canapé sofa	Siège > Canapé
Canapé trois places	Siège > Canapé
Canapé à 3 places\nDestruction le 17 mai 2005\nDécision de radiation 2006/1	Siège > Canapé
Canapé à joues	Siège > Canapé
Canapé-lit	Siège > Canapé
Canapé-lit\nDécision de radiation n° 2005/3 pour destruction du 2 juin 2005.	Siège > Canapé
Canapé-lit\nP.V. VENTE 38 96/1630\nARRETE DU 06.01.1997\n	Siège > Canapé
Canapé-lit "Las Végas"	Siège > Canapé
VASE DE FLEURS	Objet décoratif > Vase
VASE DE FLEURS DRAPERIES	Objet décoratif > Vase
VASE ET FLEURS	Objet décoratif > Vase
VASE ETRUSQUE\nradié des inventaires du mobilier national par arrêté ministériel du 15.04.1994	Objet décoratif > Vase
VASES DE FLEURS	Objet décoratif > Vase
VASES FLEURS BOUQUET	Objet décoratif > Vase
Vase	Objet décoratif > Vase
Vase\n	Objet décoratif > Vase
Vase\nDécision de radiation N° 2004/10\nRestitution au Ministère des Affaires Etrangères	Objet décoratif > Vase
Vase\nDécision de radiation n°2012/01 du 09.02.2012 pour être reversé aux collections du FNAC	Objet décoratif > Vase
Vase\nFleurs au naturel	Objet décoratif > Vase
Vase\nHomère et Bélisaire	Objet décoratif > Vase
Vase\nHérons et prunier rose	Objet décoratif > Vase
Vase\nRADIATION DES INVENTAIRES\nARRETE DU 17.11.1981\nAMBASSADE A VARSOVIE	Objet décoratif > Vase
Vase\nRADIATION DES INVENTAIRES \nARRETE DU 08.04.1980\nMINISTERE DE L INTERIEUR	Objet décoratif > Vase
Vase\nRADIATION DES INVENTAIRES \nARRETE DU 08.04.1980\nPALAIS DE JUSTICE	Objet décoratif > Vase
Vase\nRADIATION DES INVENTAIRES \nARRETE DU 24.12.1979 MINISTERE D AFFAIRES SOCIALES	Objet décoratif > Vase
Vase\nRADIATION DES INVENTAIRES \nARRETE DU 8.04.1980 MINISTERE D AFFAIRES SOCIALES	Objet décoratif > Vase
Vase\nRADIATION DES INVENTAIRES \nARRETE DU 09.04.1993\nAMBASSADE A LONDRES	Objet décoratif > Vase
Vase\nRADIATION DES INVENTAIRES \nARRETE DU 12.01.1985\nAMBASSADE A PRAGUE \n	Objet décoratif > Vase
Vase\nRADIATION DES INVENTAIRES ARRETE DU 10.08.1983\nAMBASSADE A DUBLIN	Objet décoratif > Vase
Vase\nRADIATION DES INVENTAIRES ARRETE DU 15.10.1982\nAMBASSADE A VARSOVIE	Objet décoratif > Vase
Vase\nRADIATION DES INVENTAIRES ARRETE DU 30.10.1984\nAMBASSADE A ATHENES	Objet décoratif > Vase
Vase\nRADIATION DES INVENTAIRES ARRETE DU 30.10.1984\nAMBASSADE A ATHENES	Objet décoratif > Vase
Vase\nRADIATION DES INVENTAIRES ARRETE DU 30.10.1984 LEGATION DE FRANCE A PRAGUE	Objet décoratif > Vase
Vase\nRADIATION DES INVENTAIRES ARRETE DU 29.09.1986\nMOBILIER NATIONAL	Objet décoratif > Vase
Vase	Objet décoratif > Vase
Vase \nRADIATION DES INVENTAIRES \nARRETE DU 29.09.1986\nAMBASSADE A LA HAVANE	Objet décoratif > Vase
Vase "Gauvenet"	Objet décoratif > Vase
Vase "La petite jardinière".	Objet décoratif > Vase
Vase "Le Lavoir"	Objet décoratif > Vase
Vase "Le tambour de basque".	Objet décoratif > Vase
Vase Aiguière	Objet décoratif > Vase
Vase Amphitrite	Objet décoratif > Vase
Vase Aubert	Objet décoratif > Vase
Vase Aubert N°21	Objet décoratif > Vase
Vase Aubert n° 22	Objet décoratif > Vase
Vase Aubert n° 35	Objet décoratif > Vase
Vase Aubert n° 45	Objet décoratif > Vase
Vase Aubert n° 57	Objet décoratif > Vase
Vase Aubert n° 60	Objet décoratif > Vase
Vase Aubert n° 8	Objet décoratif > Vase
Vase Aubert n°40	Objet décoratif > Vase
Vase Bertin	Objet décoratif > Vase
Vase Boileau	Objet décoratif > Vase
Vase Bourdaloue	Objet décoratif > Vase
Vase Bullant\nCapucines/FD Celadon	Objet décoratif > Vase
Vase Clermont	Objet décoratif > Vase
Vase Clodion	Objet décoratif > Vase
Vase Clodion\nLes putti musiciens	Objet décoratif > Vase
Vase Coquery n° 1	Objet décoratif > Vase
Vase Daurat n° 3	Objet décoratif > Vase
Vase De Neptune	Objet décoratif > Vase
Vase Delachenal	Objet décoratif > Vase
Vase Delachenal n° 30	Objet décoratif > Vase
Vase Delachenal n° 86	Objet décoratif > Vase
Vase Delafosse	Objet décoratif > Vase
Vase Domination	Objet décoratif > Vase
Vase Enfants aux pavots	Objet décoratif > Vase
Vase Etrusque	Objet décoratif > Vase
Vase Fleurs fond rouge	Objet décoratif > Vase
Vase Fontaine n° 1	Objet décoratif > Vase
Vase Fontaine n° 2	Objet décoratif > Vase
Vase Gauvenet n°7	Objet décoratif > Vase
Vase IMARI	Objet décoratif > Vase
Vase Jasmin	Objet décoratif > Vase
Vase Jo	Objet décoratif > Vase
Vase L'echo - La source	Objet décoratif > Vase
Vase LES BAIGNEUSES	Objet décoratif > Vase
Vase Lahalle	Objet décoratif > Vase
Vase Lancel	Objet décoratif > Vase
Vase Larue	Objet décoratif > Vase
Vase Maulette	Objet décoratif > Vase
Vase Médicis	Objet décoratif > Vase
Vase Médicis\nDécision de radiation n° 2011/7 du 18-08-2011 pour destruction, les morceaux envoyés à	Objet décoratif > Vase
Vase Médicis monté en lampe	Objet décoratif > Vase
Vase Médicis. Vasque jardinière	Objet décoratif > Vase
Vase Ovoïde	Objet décoratif > Vase
Vase Prou n° 2	Objet décoratif > Vase
Vase Prou n°1	Objet décoratif > Vase
Vase Président	Objet décoratif > Vase
Vase RUHLMANN	Objet décoratif > Vase
Vase Rapin N°14	Objet décoratif > Vase
Vase Rapin n° 21	Objet décoratif > Vase
Vase Rimini	Objet décoratif > Vase
Vase Ruhlmann n° 1	Objet décoratif > Vase
Vase Ruhlmann n°2	Objet décoratif > Vase
Vase Saïgon	Objet décoratif > Vase
Vase Soliflore	Objet décoratif > Vase
Vase Vénus au lion	Objet décoratif > Vase
Vase anses oiseaux et fruits	Objet décoratif > Vase
Vase aux Chimères	Objet décoratif > Vase
Vase avec fleurs	Objet décoratif > Vase
Vase boule	Objet décoratif > Vase
Vase bouteille	Objet décoratif > Vase
Vase bouteille\nFleurs de pêcher	Objet décoratif > Vase
Vase bouteille Toro	Objet décoratif > Vase
Vase bouteille monté en bronze	Objet décoratif > Vase
Vase bouteille montée en bronze	Objet décoratif > Vase
Vase bouteille à décor Imari	Objet décoratif > Vase
Vase cache-pot	Objet décoratif > Vase
Vase cache-pot\nRADIATION DES INVENTAIRES \nARRETE DU 12.01.1985\nAMBASSADE A COPENHAGUE	Objet décoratif > Vase
Vase candélabre	Objet décoratif > Vase
Vase celadon	Objet décoratif > Vase
Vase corbeille	Objet décoratif > Vase
Vase cornet	Objet décoratif > Vase
Vase cornet\nRADIATION DES INVENTAIRES \nARRETE DU 27.01.1981\nAMBASSADE A LA HAVANE	Objet décoratif > Vase
Vase cornet. RADIATION DES INVENTAIRES \nARRETE DU 27.01.1981\nAMBASSADE A LA HAVANE	Objet décoratif > Vase
Vase corps de lampe\nLUSTRERIE EN MORCEAUX	Objet décoratif > Vase
Vase coupe Aubert n°17	Objet décoratif > Vase
Vase couvert	Objet décoratif > Vase
Vase couvert	Objet décoratif > Vase
Vase couvert "Les 4 serpents"	Objet décoratif > Vase
Vase couvert Delafosse	Objet décoratif > Vase
Vase couvert Houdon	Objet décoratif > Vase
Vase couvert couleur cuivre	Objet décoratif > Vase
Vase cylindrique	Objet décoratif > Vase
Vase d'Orfèvrerie	Objet décoratif > Vase
Vase d'Ormesson	Objet décoratif > Vase
Vase d'autel	Objet décoratif > Vase
Vase d'ornement	Objet décoratif > Vase
Vase de Bizerte	Objet décoratif > Vase
Vase de Chine	Objet décoratif > Vase
Vase de Chine monté en lampe	Objet décoratif > Vase
Vase de Delft	Objet décoratif > Vase
Vase de Delft\nRAYE DES INVENTAIRES\nARRETE DU 29.07.1986	Objet décoratif > Vase
Vase de Neptune	Objet décoratif > Vase
Vase de Schilt	Objet décoratif > Vase
Vase de Sèvres	Objet décoratif > Vase
Vase de Sèvres monté en lampe	Objet décoratif > Vase
Vase de Venise	Objet décoratif > Vase
Vase de bronze	Objet décoratif > Vase
Vase de fleurs	Objet décoratif > Vase
Vase de fleurs et perroquet rouge	Objet décoratif > Vase
Vase de fleurs et épagneul	Objet décoratif > Vase
Vase de fruits	Objet décoratif > Vase
Vase de l' Alhambra	Objet décoratif > Vase
Vase de la Renaissance	Objet décoratif > Vase
Vase de nuit	Objet décoratif > Vase
Vase decoeur	Objet décoratif > Vase
Vase dit "Bertin"	Objet décoratif > Vase
Vase dit Bourdaloue	Objet décoratif > Vase
Vase dit Cordelier	Objet décoratif > Vase
Vase dit Egyptien	Objet décoratif > Vase
Vase dit Stéphanie	Objet décoratif > Vase
Vase dit arabe	Objet décoratif > Vase
Vase dit de Neptune	Objet décoratif > Vase
Vase dit de Versailles	Objet décoratif > Vase
Vase dit à oreilles	Objet décoratif > Vase
Vase décor de poissons	Objet décoratif > Vase
Vase en faience	Objet décoratif > Vase
Vase en forme conique	Objet décoratif > Vase
Vase en grès avec fond peint en noir	Objet décoratif > Vase
Vase enfant au cornet	Objet décoratif > Vase
Vase girandole à 3 lumières	Objet décoratif > Vase
Vase jardinière	Objet décoratif > Vase
Vase lampe	Objet décoratif > Vase
Vase lampe Rulmann n° 2	Objet décoratif > Vase
Vase les Arts	Objet décoratif > Vase
Vase les Sciences	Objet décoratif > Vase
Vase monté en bronze	Objet décoratif > Vase
Vase monté en candélabre	Objet décoratif > Vase
Vase oeuf	Objet décoratif > Vase
Vase orné de figures féminines et d'iris\nDécision de radiation n° 2006/15\nreversé au Musée du Louv	Objet décoratif > Vase
Vase pansu	Objet décoratif > Vase
Vase porte-lampes	Objet décoratif > Vase
Vase potiche	Objet décoratif > Vase
Vase soliflore	Objet décoratif > Vase
Vase une parque filant	Objet décoratif > Vase
Vase à amours	Objet décoratif > Vase
Vase à anses	Objet décoratif > Vase
Vase à bouquet de lumières	Objet décoratif > Vase
Vase à couvercle	Objet décoratif > Vase
Vase à couvercle	Objet décoratif > Vase
Vase à couvercle à oiseaux, fleurs	Objet décoratif > Vase
Vase à douze têtes en relief	Objet décoratif > Vase
Vase à têtes de satyres	Objet décoratif > Vase
Vase éclairant monté en bronze	Objet décoratif > Vase
Vase équipé en lampe	Objet décoratif > Vase
Vase étrusque	Objet décoratif > Vase
Pendule borne	Objet décoratif > Horlogerie > Pendule
Pendule borne\n\nCommission de Contrôle du 27 janvier 2016.\nA conserver.	Objet décoratif > Horlogerie > Pendule
Pendule borne\n\nCommission de Contrôle du 27 janvier 2016.\nGamper ?	Objet décoratif > Horlogerie > Pendule
Pendule borne\n\nCommission de Contrôle du 27 janvier 2016.\nVente du 19-01-2017. Radiation n° 2017/	Objet décoratif > Horlogerie > Pendule
Pendule borne\nAir du troubadour	Objet décoratif > Horlogerie > Pendule
Pendule borne\nCADRAN PERRELET	Objet décoratif > Horlogerie > Pendule
Pendule borne\nL'oubli du temps	Objet décoratif > Horlogerie > Pendule
Pendule borne "L'Amour et Psyché"	Objet décoratif > Horlogerie > Pendule
Pendule borne "Les 4 saisons".	Objet décoratif > Horlogerie > Pendule
Pendule borne (avec coupe)	Objet décoratif > Horlogerie > Pendule
Pendule borne antique ornée d'une figure d'étude	Objet décoratif > Horlogerie > Pendule
Pendule borne avec Cadran Robin	Objet décoratif > Horlogerie > Pendule
Pendule borne avec cadran "Franjus à Paris"	Objet décoratif > Horlogerie > Pendule
Pendule borne avec cadran Raingo	Objet décoratif > Horlogerie > Pendule
Pendule borne avec coupe	Objet décoratif > Horlogerie > Pendule
Pendule borne à base rectangulaire	Objet décoratif > Horlogerie > Pendule
Pendule borne-Commission de Contrôle du 27 janvier 2016.\nDécision de radiation n°2017/08 du 11/11/2	Objet décoratif > Horlogerie > Pendule
Pendule cage	Objet décoratif > Horlogerie > Pendule
Pendule cariatide égyptienne	Objet décoratif > Horlogerie > Pendule
Pendule colonne	Objet décoratif > Horlogerie > Pendule
Pendule d'officier	Objet décoratif > Horlogerie > Pendule
Pendule de garniture de cheminée	Objet décoratif > Horlogerie > Pendule
Pendule de nuit en forme de vase	Objet décoratif > Horlogerie > Pendule
Pendule de nuit et de voyage	Objet décoratif > Horlogerie > Pendule
Pendule de voyage dite anglaise	Objet décoratif > Horlogerie > Pendule
Pendule dit de voyage ou d'officier	Objet décoratif > Horlogerie > Pendule
Pendule dite Religieuse	Objet décoratif > Horlogerie > Pendule
Pendule dite de carrosse	Objet décoratif > Horlogerie > Pendule
Pendule dite des Trois horloges	Objet décoratif > Horlogerie > Pendule
Pendule en forme de vase	Objet décoratif > Horlogerie > Pendule
Pendule forme portique	Objet décoratif > Horlogerie > Pendule
Pendule géographique	Objet décoratif > Horlogerie > Pendule
Pendule monument à la mémoire de Frédéric II, roi de Prusse	Objet décoratif > Horlogerie > Pendule
Pendule murale	Objet décoratif > Horlogerie > Pendule
Pendule oeil de boeuf	Objet décoratif > Horlogerie > Pendule
Pendule ornée d'un buste de bacchante	Objet décoratif > Horlogerie > Pendule
Pendule ornée du buste d'Elisa Bonaparte-Baciocchi	Objet décoratif > Horlogerie > Pendule
Pendule piédestal	Objet décoratif > Horlogerie > Pendule
Pendule portique	Objet décoratif > Horlogerie > Pendule
Pendule portique cadran Rieussec	Objet décoratif > Horlogerie > Pendule
Pendule regulateur à cadran émaillé	Objet décoratif > Horlogerie > Pendule
Pendule représentant Galilée	Objet décoratif > Horlogerie > Pendule
Pendule régulateur	Objet décoratif > Horlogerie > Pendule
Pendule régulateur. LES PARTIES DU MONDE	Objet décoratif > Horlogerie > Pendule
Pendule sympathique	Objet décoratif > Horlogerie > Pendule
Pendule troubadour	Objet décoratif > Horlogerie > Pendule
Pendule vase cratère dit "vase aux masques"	Objet décoratif > Horlogerie > Pendule
Pendule à colonnettes	Objet décoratif > Horlogerie > Pendule
Pendule à la gloire de Napoléon III	Objet décoratif > Horlogerie > Pendule
Pendule à musique	Objet décoratif > Horlogerie > Pendule
Pendule-cage	Objet décoratif > Horlogerie > Pendule
Cartel	Objet décoratif > Horlogerie
Assiette	Objet décoratif > Art de la table > Service de table
Assiette\nA Bièvre (Seine et Oise)	Objet décoratif > Art de la table > Service de table
Assiette\nA Darnetal près Rouen (Seine inférieur)	Objet décoratif > Art de la table > Service de table
Assiette\nA Dieppe (Seine-inférieure)	Objet décoratif > Art de la table > Service de table
Assiette\nA Moret près de Fontainebleau (Seine et Marne)	Objet décoratif > Art de la table > Service de table
Assiette\nA Sassenage (Isère)	Objet décoratif > Art de la table > Service de table
Assiette\nA Vernonet (Eure)	Objet décoratif > Art de la table > Service de table
Assiette\nA Vienne en Dauphiné (Isère)	Objet décoratif > Art de la table > Service de table
Assiette\nA Vorepe près de Grenoble	Objet décoratif > Art de la table > Service de table
Assiette\nAbbaye d'Ourscamp (Oise)	Objet décoratif > Art de la table > Service de table
Assiette\nAbbaye de Royaumont (Seine et Oise)	Objet décoratif > Art de la table > Service de table
Assiette\nAqueduc romain à Metz (Moselle)	Objet décoratif > Art de la table > Service de table
Assiette\nAu Montalet sous Meudon (Seine et Oise)	Objet décoratif > Art de la table > Service de table
Assiette\nAu parc de Morfontaine (Oise)	Objet décoratif > Art de la table > Service de table
Assiette\nBains de la Preste (Pyrenées Orientales)	Objet décoratif > Art de la table > Service de table
Assiette\nChâteau de Castels (Gironde)	Objet décoratif > Art de la table > Service de table
Assiette\nChâteau de Coeuvres (Aisne)	Objet décoratif > Art de la table > Service de table
Assiette\nChâteau de Loches (Indre et Loire)	Objet décoratif > Art de la table > Service de table
Assiette\nForêt de Fontainebleau (Seine et Marne)	Objet décoratif > Art de la table > Service de table
Assiette\nLa pompe à feu de Chaillot (Paris)	Objet décoratif > Art de la table > Service de table
Assiette\nLa rue des Trouvaires et l'église St Eustache à Paris	Objet décoratif > Art de la table > Service de table
Assiette\nLe phare de Marseille (Bouche du Rhône)	Objet décoratif > Art de la table > Service de table
Assiette\nLes bords de la Seine au bas de Meudon (Seine et Oise)	Objet décoratif > Art de la table > Service de table
Assiette\nMaison de garde à Mortefontaine	Objet décoratif > Art de la table > Service de table
Assiette\nMonument druidique à Esse près de Rennes	Objet décoratif > Art de la table > Service de table
Assiette\nRuines de l'Abbaye de Mortemer (Eure)	Objet décoratif > Art de la table > Service de table
Assiette\nRuines des Remparts de Provins (Seine et Marne)	Objet décoratif > Art de la table > Service de table
Assiette\nRuines du Château de Bilstein (Haut Rhin)	Objet décoratif > Art de la table > Service de table
Assiette\nRuines du Château de Morimont (Haut Rhin)	Objet décoratif > Art de la table > Service de table
Assiette\nRuines du Château de la Ferté-Milon (Aisne)	Objet décoratif > Art de la table > Service de table
Assiette\nRuines du château d'Alluye (Eure et Loire)"	Objet décoratif > Art de la table > Service de table
Assiette\nSt Sulpice à Pierrefonds (Oise)	Objet décoratif > Art de la table > Service de table
Assiette\nTour de Buffon à Montbard (côte d'Or)	Objet décoratif > Art de la table > Service de table
Assiette\nVue de Rennes (Ile et Vilaine)	Objet décoratif > Art de la table > Service de table
Assiette\nVue de Thiers (Puy de Dôme)	Objet décoratif > Art de la table > Service de table
Assiette\nVue du Château de Combourg (lle et Vilaine)	Objet décoratif > Art de la table > Service de table
Assiette\nVue du Château de Gisors (Eure)	Objet décoratif > Art de la table > Service de table
Assiette\nVue du Château de Loches (Indre et Loire)	Objet décoratif > Art de la table > Service de table
Assiette\nVue prise à Marseille (Bouche du Rhône)	Objet décoratif > Art de la table > Service de table
Assiette\nVue prise à St Ouen (Seine)	Objet décoratif > Art de la table > Service de table
Assiette\nYerville (Seine inférieure)	Objet décoratif > Art de la table > Service de table
Assiette creuse	Objet décoratif > Art de la table > Service de table
Assiette de surtout de table montée transformée en lampe	Objet décoratif > Art de la table > Service de table
Assiette plate	Objet décoratif > Art de la table > Service de table
Assiette à dessert	Objet décoratif > Art de la table > Service de table
Assiette à fromage	Objet décoratif > Art de la table > Service de table
Couteau	Objet décoratif > Art de la table > Service de table
Couteau à entremets	Objet décoratif > Art de la table > Service de table
Cuillère	Objet décoratif > Art de la table > Service de table
Cuillère à café	Objet décoratif > Art de la table > Service de table
Fourchette	Objet décoratif > Art de la table > Service de table
SERVICE DE TABLE	Objet décoratif > Art de la table > Service de table
Service à thé\nDessus de plateau	Objet décoratif > Art de la table > Service à thé et à café
Service à thé\nNappe	Objet décoratif > Art de la table > Service à thé et à café
Service à thé\nNappe\n	Objet décoratif > Art de la table > Service à thé et à café
Service à thé\nRond	Objet décoratif > Art de la table > Service à thé et à café
Service à thé\nServiette	Objet décoratif > Art de la table > Service à thé et à café
Service à thé\nServiettes	Objet décoratif > Art de la table > Service à thé et à café
