name	mapping_key	legacy_id	order	start_year	end_year
Gothique	Gothique	12	1	1160	1494
Renaissance	Renaissance	25	2	1495	1609
Louis XIII	Louis XIII	16	3	1610	1661
Louis XIV	Louis XIV	17	4	1661	1715
Régence	Régence	24	5	1700	1730
Louis XV	Louis XV	18	6	1723	1750
Transition	Transition	29	7	1750	1774
Louis XVI	Louis XVI	19	8	1774	1785
Directoire	Directoire	9	9	1795	1803
Empire	Empire	10	10	1803	1821
Restauration	Restauration	26	11	1815	1830
Louis-Philippe	Louis-Philippe	20	12	1830	1848
Napoléon III	Napoléon III	21	13	1848	1870
Art Nouveau	Art Nouveau	5	14	1890	1909
Art Déco	Art Déco	4	15	1910	1939
Années 1940	Années 1940		16	1940	1949
Années 1950	Années 1950		17	1950	1959
Années 1960	Années 1960		18	1960	1969
Années 1970	Années 1970		19	1970	1979
Années 1980	Années 1980		20	1980	1989
Années 1990	Années 1990		21	1990	1999
Années 2000	Années 2000		22	2000	2009
Années 2010	Années 2010		23	2010	2019
Années 2020	Années 2020		24	2020	2029
Étranger	Étranger	11	25		